bssid,ssid,capabilities,frequency
00:4e:35:de:d7:43,engr_labs,[WPA2-PSK-CCMP][ESS],2437
38:17:c3:1f:08:41,csu-eid,[WPA2-EAP-CCMP][ESS],2412
00:4e:35:df:0e:11,eduroam,[WPA2-EAP-CCMP][ESS],5805
00:4e:35:df:0e:10,csu-eid,[WPA2-EAP-CCMP][ESS],5805
00:4e:35:df:0e:00,csu-eid,[WPA2-EAP-CCMP][ESS],2412
00:4e:35:df:0e:02,csu-guest,[ESS],2412
00:4e:35:df:0e:01,eduroam,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:0f:90,csu-guest,[ESS],5260
38:17:c3:1f:0f:92,eduroam,[WPA2-EAP-CCMP][ESS],5260
38:17:c3:24:4f:10,csu-guest,[ESS],5220
38:17:c3:24:4f:11,csu-eid,[WPA2-EAP-CCMP][ESS],5220
38:17:c3:24:4f:12,eduroam,[WPA2-EAP-CCMP][ESS],5220
38:17:c3:1b:08:b0,csu-guest,[ESS],5825
38:17:c3:1b:08:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2462
00:4e:35:de:d7:40,csu-eid,[WPA2-EAP-CCMP][ESS],2437
00:4e:35:de:d7:41,eduroam,[WPA2-EAP-CCMP][ESS],2437
